Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
Dave Krieg,3,0,0,0,38147,1980,1998,22,40,175,3105,5311,2206,58.5,38147,261,199,12,4.9,3.7,81.5,494,3794,8.51,7.2,6.48,5.27,12.3,179.1,42.5,98,77,0,23,25,0,0,1895,12,9,144,282,138,51.1,1895,11,9,0,3.9,3.2,72.3,27,217,8.74,6.7,6.06,4.83,13.2,157.9,36.9,3,6,1,1,0
Boomer Esiason,4,1,1,0,37920,1984,1997,23,36,173,2969,5205,2236,57,37920,247,184,11,4.7,3.5,81.1,318,2438,5.76,7.3,6.64,5.82,12.8,202.8,44.8,80,93,0,19,26,1,0,600,5,5,51,99,48,51.5,600,4,3,0,4,3,71.1,14,104,12.39,6.1,5.51,3.9,11.8,120,38.1,3,2,0,0,0
Donovan McNabb,6,0,0,0,37276,1999,2011,23,35,161,3170,5374,2204,59,37276,234,117,7,4.4,2.2,85.6,410,2626,7.09,6.9,6.83,5.89,11.8,223.2,43.3,98,62,1,16,24,0,0,3752,16,16,341,577,236,59.1,3752,24,17,3,4.2,2.9,80,48,308,7.68,6.5,6.01,5.05,11,234.5,41.6,9,7,1,1,0
Matt Hasselbeck,3,0,0,0,36638,1999,2015,24,40,160,3222,5330,2108,60.5,36638,212,153,13,4,2.9,82.4,360,2260,6.33,6.9,6.38,5.58,11.4,175.3,45.3,85,75,0,15,24,0,0,2741,11,11,236,406,170,58.1,2741,18,9,1,4.4,2.2,84.2,19,115,4.47,6.8,6.64,6.07,11.6,249.2,45.2,5,6,2,2,0
Alex Smith,3,0,0,0,35650,2005,2020,21,36,167,3250,5193,1943,62.6,35650,199,109,8,3.8,2.1,86.9,432,2463,7.68,6.9,6.69,5.74,11,204.9,42.5,99,67,1,19,23,0,0,1745,7,7,156,253,97,61.7,1745,14,2,0,5.5,0.8,97.4,18,102,6.64,6.9,7.65,6.76,11.2,249.3,41.7,2,5,1,1,0
Jim Kelly,5,1,0,0,35467,1986,1996,26,36,160,2874,4779,1905,60.1,35467,237,175,12,5,3.7,84.4,323,2427,6.33,7.4,6.77,5.86,12.3,221.7,47,101,59,0,21,28,0,0,3863,17,17,322,545,223,59.1,3863,21,28,1,3.9,5.1,72.3,25,168,4.39,7.1,5.55,5.01,12,227.2,48.2,9,8,1,1,1
Jay Cutler,1,0,0,0,35133,2006,2017,23,34,153,3048,4920,1872,62,35133,227,160,19,4.6,3.3,85.3,322,2035,6.14,7.1,6.6,5.81,11.5,229.6,45,74,79,0,23,28,0,0,354,2,2,21,42,21,50,354,2,1,0,4.8,2.4,84.8,5,28,10.64,8.4,8.31,6.83,16.9,177,34,1,1,0,0,0
Jim Everett,1,0,0,0,34837,1986,1997,23,34,153,2841,4923,2082,57.7,34837,203,175,13,4.1,3.6,78.6,257,1885,4.96,7.1,6.3,5.62,12.3,220.5,45.4,64,89,0,11,14,0,0,1120,5,5,87,176,89,49.4,1120,7,11,0,4,6.3,57,7,62,3.83,6.4,4.35,3.84,12.9,224,41.5,2,3,1,1,0
Jim Hart,4,0,0,0,34665,1966,1984,22,40,180,2593,5076,2483,51.1,34665,209,247,12,4.1,4.9,66.6,282,2305,5.26,6.8,5.46,4.75,13.4,172.5,39.2,87,88,5,20,23,0,0,491,3,2,40,81,41,49.4,491,2,4,2,2.5,4.9,56.1,4,39,4.71,6.1,4.33,3.67,12.3,163.7,,0,2,0,0,0
Steve DeBerg,0,0,0,0,34241,1978,1998,24,44,140,2874,5024,2150,57.2,34241,196,204,20,3.9,4.1,74.2,296,2469,5.56,6.8,5.77,4.98,11.9,166.2,44.5,53,86,1,19,24,0,0,511,4,4,45,72,27,62.5,511,3,3,0,4.2,4.2,80.3,5,40,6.49,7.1,6.06,5.14,11.4,127.8,46.8,1,3,0,0,0
