Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
George Blanda,4,1,0,0,26723,1950,1975,23,48,104,1902,3986,2084,47.7,26723,236,272,17,5.9,6.8,61.1,88,1155,2.83,6.7,4.82,4.72,14,81.5,,53,50,1,17,17,0,0,1190,20,4,89,189,100,47.1,1190,7,17,0,3.7,9,42.4,5,76,2.99,6.3,2.99,2.56,13.4,59.5,,2,2,0,0,1
Bobby Layne,6,2,0,0,26536,1949,1962,23,36,148,1798,3648,1850,49.3,26536,193,241,5,5.3,6.6,63.6,36,1829,5.74,7.3,5.36,4.44,14.8,161.8,,80,48,4,18,19,0,0,568,4,4,46,97,51,47.4,568,1,12,0,1,12.4,29.9,,29,,5.9,0.49,,12.3,142,,3,1,1,1,1
Jim Harbaugh,1,0,0,0,26288,1987,2000,24,37,140,2305,3918,1613,58.8,26288,129,117,6,3.3,3,77.6,361,2132,8.44,6.7,6.02,5.02,11.4,148.5,42.4,66,74,0,15,19,0,0,906,5,5,83,163,80,50.9,906,6,5,0,3.7,3.1,67.2,13,92,7.39,5.6,4.91,4.03,10.9,181.2,40.3,2,3,0,0,0
Jim Plunkett,0,0,0,2,25882,1971,1986,24,39,144,1943,3701,1758,52.5,25882,164,198,12,4.4,5.3,67.5,380,3279,9.31,7,5.47,4.16,13.3,164.9,43.8,72,72,0,18,22,0,2,2293,10,10,162,272,110,59.6,2293,11,12,1,4,4.4,81.9,27,212,9.03,8.4,7.25,5.89,14.2,229.3,49.2,8,2,1,1,0
Jeff Garcia,4,0,0,0,25537,1999,2009,29,39,116,2264,3676,1412,61.6,25537,161,83,11,4.4,2.3,87.5,181,947,4.69,6.9,6.81,6.24,11.3,204.3,46.2,58,58,0,11,17,0,0,1357,6,6,126,217,91,58.1,1357,7,7,0,3.2,3.2,73.8,10,69,4.41,6.3,5.45,4.9,10.8,226.2,44.9,2,4,1,2,0
Matt Schaub,2,0,0,0,25467,2004,2020,23,39,93,2148,3348,1200,64.2,25467,136,91,14,4.1,2.7,89.5,180,1245,5.1,7.6,7.2,6.48,11.9,164.3,48.1,47,46,0,11,14,0,0,605,2,2,63,89,26,70.8,605,2,2,1,2.2,2.2,87.5,1,9,1.11,6.8,6.24,6.07,9.6,302.5,48.9,1,1,0,0,0
Joe Theismann,2,1,1,1,25206,1974,1985,25,36,124,2044,3602,1558,56.7,25206,160,138,5,4.4,3.8,77.4,340,2757,8.63,7,6.16,4.93,12.3,150.9,42.9,77,47,0,18,22,1,1,1782,10,8,128,211,83,60.7,1782,11,7,1,5.2,3.3,91.4,26,193,10.97,8.4,8,6.3,13.9,178.2,44.7,6,2,1,2,0
Ken O'Brien,2,0,0,0,25094,1984,1993,24,33,110,2110,3602,1492,58.6,25094,128,98,6,3.6,2.7,80.4,353,2654,8.93,7,6.45,5.21,11.9,194.5,45,50,59,1,13,16,0,0,504,3,2,45,67,22,67.2,504,2,4,0,3,6,74.5,9,62,11.84,7.5,5.43,3.97,11.2,168,52.6,0,2,0,0,0
Bob Griese,8,2,0,2,25092,1967,1980,22,35,151,1926,3429,1503,56.2,25092,192,172,11,5.6,5,77.1,335,2930,8.9,7.3,6.18,4.85,13,155.9,44.1,92,56,3,15,19,0,2,1467,12,11,112,208,96,53.8,1467,10,12,2,4.8,5.8,68.3,15,152,6.73,7.1,5.42,4.37,13.1,122.3,33.3,6,5,1,1,1
Tommy Kramer,1,0,0,0,24777,1977,1990,22,35,110,2012,3651,1639,55.1,24777,159,158,12,4.4,4.3,72.8,249,1586,6.38,6.8,5.71,4.94,12.3,192.1,42.2,54,56,0,15,19,0,0,874,5,4,71,140,69,50.7,874,3,7,2,2.1,5,56.7,7,57,4.76,6.2,4.42,3.82,12.3,174.8,37.4,2,2,1,1,0
Bart Starr,4,1,1,2,24718,1956,1971,22,37,156,1808,3149,1341,57.4,24718,152,138,8,4.8,4.4,80.5,287,2960,9.94,7.8,6.84,5.69,13.7,126.1,,94,57,6,18,17,1,2,1753,10,10,130,213,83,61,1753,15,3,0,7,1.4,104.8,24,207,10.13,8.2,9,7.22,13.5,175.3,,9,1,1,1,1
Charley Johnson,1,0,0,0,24410,1961,1975,23,37,124,1737,3392,1655,51.2,24410,170,181,12,5,5.3,69.2,260,2186,7.12,7.2,5.8,4.79,14.1,147.9,,59,57,8,19,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Daunte Culpepper,3,0,0,0,24153,1999,2009,22,32,100,2016,3199,1183,63,24153,149,106,7,4.7,3.3,87.8,298,1696,8.52,7.6,6.99,5.91,12,230,46.7,41,59,0,11,17,0,0,980,4,4,73,134,61,54.5,980,8,5,0,6,3.7,82.3,10,62,6.94,7.3,6.83,5.92,13.4,245,42.4,2,2,0,0,0
Steve Bartkowski,2,0,0,0,24124,1975,1986,23,34,127,1932,3456,1524,55.9,24124,156,144,7,4.5,4.2,75.4,356,2956,9.34,7,6.01,4.67,12.5,187,42.1,59,68,0,18,21,0,0,792,4,4,53,111,58,47.7,792,5,8,0,4.5,7.2,56.6,14,117,11.2,7.1,4.79,3.32,14.9,198,33.6,1,3,1,1,0
Steve Beuerlein,1,0,0,0,24046,1988,2003,23,38,102,1894,3328,1434,56.9,24046,147,112,6,4.4,3.4,80.3,332,2124,9.07,7.2,6.59,5.42,12.7,163.6,43.2,47,55,0,13,16,0,0,271,5,2,16,31,15,51.6,271,1,1,1,3.2,3.2,78.8,0,0,0,8.7,7.94,7.94,16.9,54.2,45.2,1,1,0,0,0
Archie Manning,2,0,0,0,23911,1971,1984,22,35,139,2011,3642,1631,55.2,23911,125,173,11,3.4,4.8,67.1,396,3092,9.81,6.6,5.11,3.85,11.9,158.4,41.4,35,101,3,11,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Brian Sipe,1,1,1,0,23713,1974,1983,25,34,112,1944,3439,1495,56.5,23713,154,149,7,4.5,4.3,74.8,224,1889,6.12,6.9,5.84,4.97,12.2,189.7,43.4,57,55,0,17,23,1,0,183,1,1,13,40,27,32.5,183,0,3,0,0,7.5,17,2,14,4.76,4.6,1.2,0.81,14.1,183,26.2,0,1,0,0,0
Andrew Luck,4,0,0,0,23671,2012,2018,23,29,86,2000,3290,1290,60.8,23671,171,83,10,5.2,2.5,89.5,174,1124,5.02,7.2,7.1,6.42,11.8,275.2,47,53,33,0,16,20,0,0,2254,8,8,185,328,143,56.4,2254,12,13,0,3.7,4,73.4,11,74,3.24,6.9,5.82,5.41,12.2,281.8,45.4,4,4,1,1,0
Otto Graham,5,7,0,0,23584,1946,1955,25,34,114,1464,2626,1162,55.8,23584,174,135,7,6.6,5.1,86.6,75,2245,7.8,9,7.99,7.64,16.1,187.2,,57,13,1,12,10,0,0,2101,12,12,159,300,141,53,2101,14,17,0,4.7,5.7,67.4,12,259,8.33,7,5.39,4.84,13.2,175.1,,9,3,2,3,1
Lynn Dickey,0,0,0,0,23322,1971,1985,22,36,111,1747,3125,1378,55.9,23322,141,179,15,4.5,5.7,70.9,297,2423,8.68,7.5,5.79,4.58,13.3,153.4,43.5,45,63,3,12,18,0,0,592,2,2,36,59,23,61,592,5,3,1,8.5,5.1,101.8,2,15,3.28,10,9.44,8.89,16.4,296,54.1,1,1,0,0,0
Bernie Kosar,1,0,0,0,23301,1985,1996,22,33,108,1994,3365,1371,59.3,23301,124,87,7,3.7,2.6,81.8,273,1660,7.5,6.9,6.5,5.55,11.7,184.9,43.7,53,54,1,14,16,0,0,1953,10,7,152,270,118,56.3,1953,16,10,0,5.9,3.7,83.5,15,74,5.26,7.2,6.75,6.14,12.8,195.3,45.6,3,4,1,1,0
Norm Van Brocklin,9,1,0,0,23010,1950,1960,24,34,104,1521,2837,1316,53.6,23010,167,176,8,5.9,6.2,74.3,10,860,3.4,8.1,6.5,7.11,15.1,174.3,,61,36,4,17,16,0,0,681,6,4,41,81,40,50.6,681,4,8,1,4.9,9.9,56.2,1,22,4.76,8.4,4.95,8.19,16.6,113.5,,2,2,1,2,1
Marc Bulger,2,0,0,0,22814,2002,2009,25,32,95,1969,3171,1202,62.1,22814,122,93,10,3.8,2.9,84.4,254,1863,7.42,7.2,6.64,5.61,11.6,237.6,45.3,41,54,0,12,16,0,0,944,3,3,68,113,45,60.2,944,4,5,0,3.5,4.4,80.4,11,72,8.87,8.4,7.07,5.86,13.9,314.7,46,1,2,1,1,0
Neil Lomax,2,0,0,0,22771,1981,1988,22,29,101,1817,3153,1336,57.6,22771,136,90,6,4.3,2.9,82.7,362,2700,10.3,7.2,6.8,5.33,12.5,210.8,42.6,47,51,2,11,12,0,0,385,1,1,32,51,19,62.7,385,2,2,0,3.9,3.9,82.6,5,38,8.93,7.5,6.57,5.3,12,385,48.2,0,1,0,0,0
Roger Staubach,6,0,0,2,22700,1969,1979,27,37,114,1685,2958,1273,57,22700,153,109,3,5.2,3.7,83.4,313,2154,9.57,7.7,7.05,5.72,13.5,173.3,45,85,29,0,13,21,0,2,2791,20,17,223,410,187,54.4,2791,24,19,1,5.9,4.6,76,61,390,12.95,6.8,5.89,4.3,12.5,139.6,34.9,11,6,2,2,1
Babe Parilli,3,1,0,0,22681,1952,1969,22,39,104,1552,3330,1778,46.6,22681,178,220,20,5.3,6.6,59.6,178,2132,6.23,6.8,4.91,4.47,14.6,120,,49,45,7,17,13,0,0,489,4,2,28,65,37,43.1,489,2,2,0,3.1,3.1,66.8,7,50,9.72,7.5,6.75,5.4,17.5,122.3,,1,1,0,0,0
Michael Vick,4,0,0,0,22464,2001,2015,21,35,115,1807,3217,1410,56.2,22464,133,88,6,4.1,2.7,80.4,316,1879,8.94,7,6.58,5.46,12.4,157.1,40.5,61,51,1,14,15,0,0,977,6,5,79,141,62,56,977,5,4,1,3.5,2.8,77.6,11,95,7.24,6.9,6.36,5.28,12.4,162.8,38.2,2,3,0,0,0
Jeff Blake,1,0,0,0,21711,1992,2005,22,35,100,1827,3241,1414,56.4,21711,134,99,12,4.1,3.1,78,248,1550,7.11,6.7,6.15,5.27,11.9,182.4,42,39,61,0,12,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Neil O'Donnell,1,0,0,0,21690,1991,2003,25,37,100,1865,3229,1364,57.8,21690,120,68,8,3.7,2.1,81.8,259,1906,7.43,6.7,6.51,5.48,11.6,173.5,41.7,55,45,0,15,18,0,0,1709,9,7,159,275,116,57.8,1709,9,8,0,3.3,2.9,74.9,15,94,5.17,6.2,5.56,4.95,10.7,189.9,44.1,3,4,1,1,0
Bobby Hebert,1,0,0,0,21683,1985,1996,25,36,100,1839,3121,1282,58.9,21683,135,124,10,4.3,4,78,178,1255,5.4,6.9,6.02,5.32,11.8,183.8,45.6,56,44,0,11,16,0,0,648,3,3,58,102,44,56.9,648,3,7,1,2.9,6.9,57.1,3,19,2.86,6.4,3.85,3.56,11.2,216,44.8,0,3,0,0,0
Gus Frerotte,1,0,0,0,21291,1994,2008,23,37,93,1699,3106,1407,54.7,21291,114,106,10,3.7,3.4,74.2,207,1328,6.25,6.9,6.05,5.27,12.5,144.8,41.3,45,47,1,8,10,0,0,375,4,2,34,75,41,45.3,375,1,3,0,1.3,4,48.5,9,72,10.71,5,3.47,2.24,11,93.8,29.8,0,2,0,0,0
Danny White,1,0,0,0,21229,1980,1988,28,36,91,1705,2847,1142,59.9,21229,152,126,7,5.3,4.4,82.4,233,1997,7.56,7.5,6.53,5.39,12.5,200.3,45.3,61,30,0,11,14,0,0,2152,10,10,195,337,142,57.9,2152,14,15,1,4.2,4.5,72.2,22,191,6.13,6.4,5.21,4.36,11,215.2,46.2,5,5,1,1,0
Jack Kemp,7,2,0,0,21218,1957,1969,22,34,104,1436,3073,1637,46.7,21218,114,183,9,3.7,6,57.3,214,2030,6.55,6.9,4.97,4.06,14.8,167.1,,65,37,3,11,11,0,0,1126,6,6,78,160,82,48.8,1126,2,10,0,1.3,6.3,50.2,19,163,10.61,7,4.48,3.09,14.4,187.7,,2,4,0,0,0
Jim Zorn,0,0,0,0,21115,1976,1987,23,34,106,1669,3149,1480,53,21115,111,141,13,3.5,4.5,67.3,213,1585,6.34,6.7,5.4,4.58,12.7,150.8,42.1,44,62,0,9,12,0,0,134,5,0,14,28,14,50,134,2,2,0,7.1,7.1,57.7,1,23,3.45,4.8,3,2.1,9.6,26.8,41.4,,,0,0,0
Jake Delhomme,1,0,0,0,20975,1999,2011,24,36,96,1741,2932,1191,59.4,20975,126,101,13,4.3,3.4,81.3,168,1267,5.42,7.2,6.46,5.7,12,203.6,44.1,56,40,0,19,24,0,0,1847,8,8,130,226,96,57.5,1847,12,10,0,5.3,4.4,83.3,16,107,6.61,8.2,7.24,6.32,14.2,230.9,44.6,5,3,0,1,0
Earl Morrall,2,2,1,3,20809,1956,1976,22,42,104,1379,2689,1310,51.3,20809,161,148,9,6,5.5,74.1,197,2182,8.55,7.7,6.46,5.53,15.1,81.6,,63,36,3,14,11,1,3,806,15,5,50,103,53,48.5,806,3,7,0,2.9,6.8,56.5,8,49,7.21,7.8,5.35,4.52,16.1,53.7,,4,1,2,2,0
Richard Todd,0,0,0,0,20610,1976,1985,23,32,108,1610,2967,1357,54.3,20610,124,161,11,4.2,5.4,67.6,264,2127,8.17,6.9,5.34,4.25,12.8,173.2,41.9,48,59,1,9,14,0,0,1026,4,4,78,140,62,55.7,1026,4,12,1,2.9,8.6,52.9,13,80,8.5,7.3,4.04,3.18,13.2,256.5,43.1,2,2,1,1,0
Trent Dilfer,1,0,0,1,20518,1994,2007,22,35,113,1759,3172,1413,55.5,20518,113,129,13,3.6,4.1,70.2,263,1730,7.66,6.5,5.35,4.44,11.7,157.8,40.8,58,55,0,14,15,0,1,971,6,6,59,135,76,43.7,971,4,4,0,3,3,66,14,115,9.4,7.2,6.45,5.07,16.5,161.8,32.2,5,1,0,0,0
Aaron Brooks,0,0,0,0,20261,2000,2006,24,30,90,1673,2963,1290,56.5,20261,123,92,5,4.2,3.1,78.5,235,1454,7.35,6.8,6.27,5.36,12.1,217.9,41.1,38,52,0,12,18,0,0,561,2,2,46,77,31,59.7,561,6,3,0,7.8,3.9,92,4,24,4.94,7.3,7.09,6.44,12.2,280.5,45.7,1,1,0,0,0
Billy Kilmer,1,0,0,0,20212,1961,1978,22,39,114,1569,2957,1388,53.1,20212,150,142,7,5.1,4.8,71.7,212,1593,6.69,6.8,5.69,4.81,12.9,136.6,36,61,51,1,14,16,0,0,1060,7,7,92,178,86,51.7,1060,8,7,0,4.5,3.9,68.6,5,44,2.73,6,5.08,4.7,11.5,151.4,,2,5,0,0,0
Jay Schroeder,1,0,0,0,20063,1985,1994,24,33,99,1426,2808,1382,50.8,20063,114,108,4,4.1,3.8,71.7,208,1600,6.9,7.1,6.23,5.27,14.1,170,40.3,61,38,0,16,17,0,0,791,8,5,72,158,86,45.6,791,5,8,1,3.2,5.1,50.4,11,94,6.51,5,3.36,2.59,11,98.9,32,3,2,0,1,0
Charlie Conerly,2,0,0,0,19488,1948,1961,27,40,105,1418,2833,1415,50.1,19488,173,167,8,6.1,5.9,68.2,24,1642,9.09,6.9,5.45,3.94,13.7,121,,57,31,1,15,19,0,0,785,6,2,48,92,44,52.2,785,4,4,1,4.3,4.3,77.5,1,97,11.11,8.5,7.45,5.44,16.4,130.8,,0,1,0,0,0
Sam Bradford,0,0,0,0,19449,2010,2018,23,31,83,1855,2967,1112,62.5,19449,103,61,8,3.5,2.1,84.5,196,1371,6.2,6.6,6.32,5.5,10.5,234.3,43.8,34,48,1,7,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Brian Griese,1,0,0,0,19440,1998,2008,23,33,83,1752,2796,1044,62.7,19440,119,99,12,4.3,3.5,82.7,193,1326,6.46,7,6.21,5.37,11.1,209,46.4,45,38,0,9,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chris Miller,1,0,0,0,19320,1987,1999,22,34,92,1580,2892,1312,54.6,19320,123,102,10,4.3,3.5,74.9,209,1527,6.74,6.7,5.94,5.05,12.2,197.1,41,34,58,0,8,11,0,0,469,2,2,35,62,27,56.5,469,3,5,0,4.8,8.1,63.2,9,64,12.68,7.6,4.9,3.38,13.4,234.5,42.3,1,1,1,1,0
Daryle Lamonica,5,2,0,0,19154,1963,1974,22,33,88,1288,2601,1313,49.5,19154,164,138,2,6.3,5.3,72.9,166,1416,6,7.4,6.24,5.35,14.9,126.8,,66,16,6,18,17,0,0,1928,13,9,117,263,146,44.5,1928,19,10,1,7.2,3.8,77.9,14,120,5.05,7.3,7.06,6.27,16.5,148.3,,4,5,0,0,0
Tobin Rote,2,1,0,0,18850,1950,1966,22,38,111,1329,2907,1578,45.7,18850,148,191,13,5.1,6.6,56.8,31,2116,6.35,6.5,4.55,5.19,14.2,126.5,,48,64,4,7,7,0,0,785,4,4,48,90,42,53.3,785,8,3,0,8.9,3.3,98.6,3,46,6.82,8.7,9,5.32,16.4,196.3,,3,1,1,1,0
Billy Wade,2,0,0,0,18530,1954,1966,24,36,85,1370,2523,1153,54.3,18530,124,134,8,4.9,5.3,72.2,128,1801,7.45,7.3,5.94,4.83,13.5,144.8,,40,43,2,10,11,0,0,138,2,1,10,31,21,32.3,138,0,1,0,0,3.2,34.1,1,32,3.45,4.5,3,4.45,13.8,69,,1,0,0,0,0
Dan Pastorini,1,0,0,0,18515,1971,1983,22,34,117,1556,3055,1499,50.9,18515,103,161,6,3.4,5.3,59.1,246,2229,7.45,6.1,4.36,3.36,11.9,132.3,34.5,56,61,0,14,19,0,0,954,5,5,71,116,45,61.2,954,4,8,0,3.4,6.9,70.1,11,92,8.66,8.2,5.81,4.58,13.4,190.8,40.9,3,2,0,1,0
Mark Rypien,2,0,0,1,18473,1988,2001,26,39,78,1466,2613,1147,56.1,18473,115,88,7,4.4,3.4,78.9,97,664,3.58,7.1,6.43,5.96,12.6,177.6,45.9,47,31,0,8,12,0,1,1776,8,7,126,234,108,53.8,1776,8,10,1,3.4,4.3,72.2,7,41,2.9,7.6,6.35,6,14.1,222,44.8,5,2,0,0,0
Bert Jones,1,1,1,0,18190,1973,1982,22,31,96,1430,2551,1121,56.1,18190,124,101,7,4.9,4,78.2,232,2020,8.34,7.1,6.32,5.07,12.7,178.3,44.6,47,49,0,8,11,1,0,399,3,3,29,62,33,46.8,399,1,2,0,1.6,3.2,59.8,11,95,15.07,6.4,5.31,3.21,13.8,133,,0,3,0,0,0
Jim McMahon,1,0,0,1,18148,1982,1996,23,37,97,1492,2573,1081,58,18148,100,90,7,3.9,3.5,78.2,226,1344,8.07,7.1,6.26,5.27,12.2,152.5,42.3,67,30,0,11,14,0,1,1112,10,6,82,155,73,52.9,1112,5,4,0,3.2,2.6,76.1,12,67,7.19,7.2,6.66,5.78,13.6,111.2,41.3,3,3,0,0,0
Kyle Orton,0,0,0,0,18037,2005,2014,23,32,82,1613,2712,1099,59.5,18037,101,69,7,3.7,2.5,81.2,165,1016,5.74,6.7,6.25,5.54,11.2,207.3,43,42,40,0,8,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chad Pennington,0,0,0,0,17823,2000,2010,24,34,81,1632,2471,839,66,17823,102,64,6,4.1,2.6,90.1,162,965,6.15,7.2,6.87,6.08,10.9,200.3,48.1,44,37,0,7,10,0,0,1418,6,6,132,216,84,61.1,1418,8,8,2,3.7,3.7,77.3,17,98,7.3,6.6,5.64,4.81,10.7,236.3,43.3,2,4,0,1,0
Josh McCown,0,0,0,0,17731,2002,2019,23,40,76,1584,2633,1049,60.2,17731,98,82,5,3.7,3.1,79.7,235,1563,8.19,6.7,6.08,5.03,11.2,173.8,42.6,23,53,0,6,7,0,0,174,1,0,18,24,6,75,174,0,0,0,0,0,94.8,6,14,20,7.3,7.25,5.33,9.7,174,40,,,0,0,0
Blake Bortles,0,0,0,0,17649,2014,2019,22,27,73,1562,2634,1072,59.3,17649,103,75,13,3.9,2.8,80.6,195,1158,6.89,6.7,6.2,5.36,11.3,226.3,43.2,24,49,0,6,8,0,0,594,3,3,49,85,36,57.6,594,3,0,0,3.5,0,91,5,32,5.56,7,7.69,6.91,12.1,198,45.6,2,1,0,0,0
Milt Plum,2,0,0,0,17536,1957,1969,22,34,103,1306,2419,1113,54,17536,122,127,8,5,5.3,72.2,116,1711,5.79,7.2,5.9,4.63,13.4,135.9,,56,41,6,8,9,0,0,134,2,1,12,24,12,50,134,0,4,0,0,16.7,27.4,,50,,5.6,-1.92,,11.2,67,,0,1,0,0,0
Matt Cassel,1,0,0,0,17508,2005,2018,23,36,81,1578,2683,1105,58.8,17508,104,82,10,3.9,3.1,78.5,210,1157,7.26,6.5,5.93,5.1,11.1,163.6,41.5,36,45,0,9,12,0,0,70,5,1,9,18,9,50,70,0,3,0,0,16.7,20.4,3,17,14.29,3.9,-3.61,-3.9,7.8,14,23.8,0,1,0,0,0
Wade Wilson,1,0,0,0,17283,1981,1998,22,39,69,1391,2428,1037,57.3,17283,99,102,9,4.1,4.2,75.6,217,1508,8.2,7.1,6.04,4.98,12.4,138.3,43.5,36,33,0,6,11,0,0,1322,7,5,99,185,86,53.5,1322,7,6,1,3.8,3.2,75.6,27,219,12.74,7.1,6.44,4.59,13.4,188.9,38.7,2,3,0,0,0
Bill Kenney,1,0,0,0,17277,1980,1988,25,33,77,1330,2430,1100,54.7,17277,105,86,7,4.3,3.5,77,195,1487,7.43,7.1,6.38,5.34,13,163,42.7,34,43,0,3,6,0,0,97,1,0,8,16,8,50,97,0,0,0,0,0,69,0,0,0,6.1,6.06,6.06,12.1,97,37.5,,,0,0,0
Don Meredith,3,0,0,0,17199,1960,1968,22,30,81,1170,2308,1138,50.7,17199,135,111,13,5.8,4.8,74.8,257,1909,10.02,7.5,6.46,5.07,14.7,165.4,,47,32,4,8,8,0,0,551,4,4,39,78,39,50,551,3,5,1,3.8,6.4,59.3,5,23,6.02,7.1,4.95,4.37,14.1,137.8,,1,3,0,0,0
Stan Humphries,0,0,0,0,17191,1989,1997,24,32,81,1431,2516,1085,56.9,17191,89,84,11,3.5,3.3,75.8,144,1182,5.41,6.8,6.04,5.27,12,195.4,43.8,50,31,0,8,10,0,0,1347,6,6,118,228,110,51.8,1347,6,13,0,2.6,5.7,54.8,12,100,5,5.9,3.87,3.26,11.4,224.5,42.5,3,3,2,2,0
Doug Williams,0,0,0,1,16998,1978,1989,23,34,81,1240,2507,1267,49.5,16998,100,93,3,4,3.7,69.4,84,734,3.24,6.8,5.91,5.43,13.7,193.2,41,38,42,1,17,20,0,1,1110,7,7,68,169,101,40.2,1110,9,11,1,5.3,6.5,53.6,6,56,3.43,6.6,4.7,4.22,16.3,158.6,32.6,4,3,0,1,0
Elvis Grbac,1,0,0,0,16774,1994,2001,24,31,70,1446,2445,999,59.1,16774,99,81,12,4,3.3,79.6,129,907,5.01,6.9,6.18,5.52,11.6,159.8,43.6,40,30,0,8,13,0,0,718,8,3,75,133,58,56.4,718,3,6,0,2.3,4.5,60.3,8,71,5.67,5.4,3.82,3.1,9.6,89.8,36.2,1,2,0,0,0
Jason Campbell,0,0,0,0,16771,2006,2014,25,33,79,1519,2518,999,60.3,16771,87,60,5,3.5,2.4,81.7,170,1096,6.32,6.7,6.28,5.47,11,186.3,43.3,32,47,0,7,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Jeff Hostetler,1,0,0,1,16430,1985,1997,24,36,83,1357,2338,981,58,16430,94,71,7,4,3,80.5,207,1158,8.13,7,6.46,5.48,12.1,108.1,42.9,51,32,0,8,10,0,1,1034,6,5,72,115,43,62.6,1034,7,0,0,6.1,0,112,11,52,8.73,9,10.21,8.9,14.4,172.3,45.2,4,1,2,2,0
Rodney Peete,0,0,0,0,16338,1989,2004,23,38,87,1344,2346,1002,57.3,16338,76,92,7,3.2,3.9,73.3,244,1372,9.42,7,5.85,4.77,12.2,157.1,41.7,45,42,0,9,14,0,0,298,3,2,20,32,12,62.5,298,3,0,0,9.4,0,124.2,2,16,5.88,9.3,11.19,10.06,14.9,99.3,41.2,1,1,0,0,0
Mike Tomczak,0,0,0,0,16079,1985,1999,23,37,73,1248,2337,1089,53.4,16079,88,106,6,3.8,4.5,68.9,114,809,4.65,6.9,5.59,5,12.9,86.9,42.2,40,31,0,6,12,0,0,884,11,5,74,143,69,51.7,884,2,9,1,1.4,6.3,49.4,4,27,2.72,6.2,3.63,3.35,11.9,80.4,35.4,3,2,0,0,0
Greg Landry,1,0,0,0,16052,1968,1984,22,38,98,1276,2300,1024,55.5,16052,98,103,4,4.3,4.5,72.9,316,2503,12.08,7,5.82,4.16,12.6,109.9,39.4,44,51,3,8,8,0,0,48,1,1,5,12,7,41.7,48,0,0,0,0,0,53.5,3,12,20,4,4,2.4,9.6,48,,0,1,0,0,0
Frank Ryan,3,0,0,0,16042,1958,1970,22,34,90,1090,2133,1043,51.1,16042,149,111,4,7,5.2,77.6,196,1825,8.81,7.5,6.58,5.33,14.7,127.3,,57,27,3,8,9,0,0,534,5,3,35,72,37,48.6,534,6,4,1,8.3,5.6,78.1,10,65,12.2,7.4,6.58,4.99,15.3,106.8,,1,2,0,0,0
David Garrard,1,0,0,0,16003,2002,2010,24,32,76,1406,2281,875,61.6,16003,89,54,4,3.9,2.4,85.8,179,1115,7.28,7,6.73,5.79,11.4,186.1,45.6,39,37,0,10,17,0,0,486,3,2,34,62,28,54.8,486,3,3,0,4.8,4.8,76.4,7,56,10.14,7.8,6.63,5.14,14.3,162,40.6,1,1,1,1,0
Scott Mitchell,0,0,0,0,15692,1991,2001,23,33,71,1301,2346,1045,55.5,15692,95,81,7,4,3.5,75.3,155,882,6.2,6.7,5.95,5.22,12.1,158.5,43.2,32,39,0,6,9,0,0,233,4,2,23,54,31,42.6,233,1,5,1,1.9,9.3,23.1,2,11,3.57,4.3,0.52,0.3,10.1,58.3,33.9,0,2,0,0,0
Ed Brown,2,0,0,0,15600,1954,1965,26,37,98,949,1987,1038,47.8,15600,102,138,11,5.1,6.9,62.8,119,1776,10.75,7.9,5.75,3.95,16.4,101.3,,53,38,5,14,14,0,0,97,1,0,8,20,12,40,97,0,1,0,0,5,34.8,,11,,4.9,2.6,,12.1,97,,,,0,0,0
Mark Sanchez,0,0,0,0,15357,2009,2018,23,32,73,1314,2320,1006,56.6,15357,86,89,9,3.7,3.8,73.2,168,1090,6.75,6.6,5.63,4.82,11.7,194.4,41.6,37,36,0,8,10,0,0,1155,6,6,95,157,62,60.5,1155,9,3,0,5.7,1.9,94.3,4,26,2.48,7.4,7.64,7.29,12.2,192.5,47.2,4,2,2,2,0
Erik Kramer,0,0,0,0,15337,1987,1999,23,35,67,1317,2299,982,57.3,15337,92,79,4,4,3.4,76.6,122,788,5.04,6.7,5.93,5.3,11.6,184.8,44,31,36,0,11,14,0,0,999,4,3,91,130,39,70,999,6,3,1,4.6,2.3,98.2,13,74,9.09,7.7,7.57,6.36,11,249.8,52.4,1,2,0,0,0
