Name,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,HOF
Tony Banks,96.0,78.0,35-43-0,1278.0,2356.0,54.2,15315.0,77.0,3.3,73.0,3.1,706.0,39.1,85.0,6.5,5.76,12.0,159.5,72.4,227.0,1432.0,8.79,5.37,4.7,5.0,7.0,49.0,0
Kordell Stewart,125.0,87.0,50-34-0,1316.0,2358.0,55.8,14746.0,77.0,3.3,84.0,3.6,722.0,40.5,90.0,6.3,5.3,11.2,118.0,70.7,170.0,1048.0,6.72,5.42,4.53,9.0,14.0,69.0,0
Doug Flutie,92,66,38-28-0,1177,2151,54.7,14715,86,4.0,68,3.2,700,42.7,84,6.8,6.22,12.5,159.9,76.3,107,687,4.74,6.21,5.62,8,10,60,0
Joey Harrington,81.0,76.0,26-50-0,1424.0,2538.0,56.1,14693.0,79.0,3.1,85.0,3.3,717.0,39.3,86.0,5.8,4.9,10.3,181.4,69.4,124.0,770.0,4.66,5.23,4.39,6.0,7.0,34.0,0
Sid Luckman,128,61,,904,1744,51.8,14686,137,7.9,132,7.6,,,86,8.4,6.59,16.2,114.7,75.0,,269.0,,,,4,5,,1
David Carr,94.0,79.0,23-56-0,1353.0,2267.0,59.7,14452.0,65.0,2.9,71.0,3.1,709.0,41.2,81.0,6.4,5.54,10.7,153.7,74.9,267.0,1564.0,10.54,5.09,4.34,7.0,11.0,49.0,0
Bubby Brister,99.0,75.0,37-38-0,1207.0,2212.0,54.6,14445.0,81.0,3.7,78.0,3.5,677.0,39.6,90.0,6.5,5.68,12.0,145.9,72.3,193.0,1625.0,8.02,5.33,4.54,9.0,11.0,42.0,0
Marc Wilson,126.0,60.0,32-28-0,1085.0,2081.0,52.1,14391.0,86.0,4.1,102.0,4.9,695.0,41.2,92.0,6.9,5.54,13.3,114.2,67.7,210.0,1510.0,9.17,5.62,4.37,9.0,12.0,41.0,0
Bill Nelsen,90.0,74.0,40-31-3,963.0,1905.0,50.6,14165.0,98.0,5.1,101.0,5.3,,,87.0,7.4,6.08,14.7,157.4,70.2,146.0,1314.0,7.12,6.27,5.01,8.0,8.0,61.0,0
Josh Freeman,62.0,61.0,25-36-0,1179.0,2048.0,57.6,13873.0,81.0,4.0,68.0,3.3,660.0,42.3,95.0,6.8,6.07,11.8,223.8,77.6,112.0,690.0,5.19,6.1,5.44,9.0,10.0,40.0,0
Gary Danielson,101.0,60.0,28-31-1,1105.0,1932.0,57.2,13764.0,81.0,4.2,78.0,4.0,625.0,42.2,87.0,7.1,6.15,12.5,136.3,76.6,183.0,1446.0,8.65,5.82,4.93,5.0,11.0,55.0,0
Eddie LeBaron,134,85,28-54-3,898,1796,50.0,13399,104,5.8,141,7.9,,,85,7.5,5.09,14.9,100.0,61.4,59,1404,7.86,6.47,4.48,13,13,20,0
Bill Munson,107.0,66.0,27-34-5,1070.0,1982.0,54.0,12896.0,84.0,4.2,80.0,4.0,17.0,50.0,95.0,6.5,5.54,12.1,120.5,71.5,192.0,1409.0,8.83,5.28,4.4,8.0,8.0,58.0,0
Don Majkowski,90.0,57.0,26-30-1,1056.0,1905.0,55.4,12700.0,66.0,3.5,67.0,3.5,610.0,41.0,79.0,6.7,5.78,12.0,141.1,72.9,180.0,1058.0,8.63,5.58,4.77,10.0,13.0,43.0,0
Colin Kaepernick,69,58,28-30-0,1011,1692,59.8,12271,72,4.3,30,1.8,574,42.4,80,7.3,7.31,12.1,177.8,88.9,171,1060,9.18,6.02,6.07,7,7,49,0
Rick Mirer,80.0,68.0,24-44-0,1088.0,2043.0,53.3,11969.0,50.0,2.4,76.0,3.7,595.0,37.7,60.0,5.9,4.67,11.0,149.6,63.5,199.0,1038.0,8.88,4.88,3.8,8.0,9.0,36.0,0
Tom Flores,106,68,31-33-4,838,1715,48.9,11959,93,5.4,92,5.4,,,93,7.0,5.64,14.3,112.8,67.6,175,1576,9.26,5.49,4.29,9,8,44,1
Bob Waterfield,30,2,0-2-0,59,124,47.6,707,3,2.4,8,6.5,,,42,5.7,3.28,12.0,23.6,46.7,32.0,223.0,20.78,3.1,0.67,1,1,5,1
Jay Fiedler,76.0,60.0,37-23-0,1008.0,1717.0,58.7,11844.0,69.0,4.0,66.0,3.8,579.0,43.3,74.0,6.9,5.97,11.8,155.8,77.1,114.0,734.0,6.23,6.07,5.2,8.0,9.0,43.0,0
Cotton Davidson,111,53,19-33-1,770,1752,43.9,11760,73,4.2,108,6.2,,,90,6.7,4.77,15.3,105.9,54.9,110,945,6.13,5.81,4.11,5,4,45,0
Vince Ferragamo,75,53,27-26-0,902,1615,55.9,11336,76,4.7,91,5.6,502,42.1,85,7.0,5.42,12.6,151.1,70.1,94,770,5.50,6.18,4.68,5,5,35,0
Mike Livingston,91.0,75.0,31-43-1,912.0,1751.0,52.1,11295.0,56.0,3.2,83.0,4.7,93.0,37.5,93.0,6.5,4.96,12.4,124.1,63.3,152.0,1392.0,7.99,5.2,3.83,6.0,7.0,50.0,0
Tony Eason,90.0,51.0,28-23-0,911.0,1564.0,58.2,11142.0,61.0,3.9,51.0,3.3,534.0,44.4,90.0,7.1,6.44,12.2,123.8,79.7,177.0,1350.0,10.17,5.62,5.01,7.0,8.0,39.0,0
Tim Couch,62,59,22-37-0,1025,1714,59.8,11131,64,3.7,67,3.9,494,38.2,79,6.5,5.48,10.9,179.5,75.1,166,1119,8.83,5.33,4.4,10,11,33,0
Charlie Batch,81.0,55.0,25-30-0,908.0,1604.0,56.6,11085.0,61.0,3.8,52.0,3.2,504.0,39.9,98.0,6.9,6.21,12.2,136.9,77.2,161.0,890.0,9.12,5.78,5.14,9.0,11.0,38.0,0
Derek Anderson,78.0,49.0,20-29-0,909.0,1674.0,54.3,10878.0,60.0,3.6,64.0,3.8,539.0,42.3,78.0,6.5,5.49,12.0,139.5,70.4,81.0,563.0,4.62,5.88,4.92,5.0,7.0,22.0,0
Frankie Albert,90.0,68.0,13-16-1,831.0,1564.0,53.1,10795.0,115.0,7.4,98.0,6.3,,,75.0,6.9,5.55,13.0,119.9,73.5,43.0,1096.0,5.32,6.04,5.86,5.0,7.0,,0
Eric Hipple,102.0,57.0,28-29-0,830.0,1546.0,53.7,10711.0,55.0,3.6,70.0,4.5,500.0,39.4,94.0,6.9,5.6,12.9,105.0,68.7,160.0,1188.0,9.38,5.58,4.38,4.0,4.0,41.0,0
Byron Leftwich,60.0,50.0,24-26-0,930.0,1605.0,57.9,10532.0,58.0,3.6,42.0,2.6,509.0,41.8,84.0,6.6,6.11,11.3,175.5,78.9,92.0,452.0,5.42,5.94,5.51,7.0,10.0,36.0,0
Mike Phipps,119.0,71.0,38-31-2,886.0,1799.0,49.2,10506.0,55.0,3.1,108.0,6.0,130.0,36.3,80.0,5.8,3.75,11.9,88.3,52.6,172.0,1514.0,8.73,4.56,2.65,12.0,12.0,46.0,0
George Ratterman,92.0,46.0,9-8-1,737.0,1396.0,52.8,10473.0,91.0,6.5,96.0,6.9,,,71.0,7.5,5.71,14.2,113.8,70.4,29.0,572.0,3.37,6.95,5.19,3.0,3.0,,0
Steve Bono,88.0,42.0,28-14-0,934.0,1701.0,54.9,10439.0,62.0,3.6,42.0,2.5,544.0,41.2,78.0,6.1,5.75,11.2,118.6,75.3,76.0,565.0,4.28,5.56,5.19,6.0,5.0,36.0,0
Zeke Bratkowski,132.0,49.0,18-30-1,762.0,1484.0,51.3,10345.0,65.0,4.4,122.0,8.2,,,86.0,7.0,4.15,13.6,78.4,54.3,94.0,1073.0,7.73,5.88,3.27,5.0,7.0,22.0,0
Frank Tripucka,75.0,56.0,17-34-1,879.0,1745.0,50.4,10282.0,69.0,4.0,124.0,7.1,,,96.0,5.9,3.49,11.7,137.1,52.2,63.0,1048.0,4.7,5.11,3.17,8.0,8.0,20.0,0
Dave Brown,73.0,60.0,26-34-0,892.0,1634.0,54.6,10248.0,44.0,2.7,58.0,3.5,508.0,38.6,71.0,6.3,5.21,11.5,140.4,67.9,181.0,1005.0,9.97,5.09,4.14,2.0,4.0,29.0,0
Jack Trudeau,67.0,49.0,19-30-0,873.0,1644.0,53.1,10243.0,42.0,2.6,69.0,4.2,476.0,40.6,84.0,6.2,4.85,11.7,152.9,63.3,103.0,717.0,5.9,5.45,4.16,10.0,10.0,25.0,0
Rex Grossman,54.0,47.0,25-22-0,863.0,1562.0,55.2,10232.0,56.0,3.6,60.0,3.8,499.0,41.1,64.0,6.6,5.54,11.9,189.5,71.4,92.0,698.0,5.56,5.76,4.81,6.0,9.0,25.0,0
