Name,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,HOF
Bob Griese,161.0,151.0,92-56-3,1926.0,3429.0,56.2,25092.0,192.0,5.6,172.0,5.0,229.0,44.1,86.0,7.3,6.18,13.0,155.9,77.1,335.0,2930.0,8.9,5.89,4.85,15.0,19.0,138.0,1
Tommy Kramer,129.0,110.0,54-56-0,2012.0,3651.0,55.1,24777.0,159.0,4.4,158.0,4.3,1174.0,42.2,76.0,6.8,5.71,12.3,192.1,72.8,249.0,1586.0,6.38,5.95,4.94,15.0,19.0,84.0,0
Bart Starr,196,157,94-57-6,1808,3149,57.4,24718,152,4.8,138,4.4,,,91,7.8,6.84,13.7,126.1,80.5,287.0,2960,9.94,6.33,5.69,18,17,115.0,1
Daunte Culpepper,105.0,100.0,41-59-0,2016.0,3199.0,63.0,24153.0,149.0,4.7,106.0,3.3,1157.0,46.7,82.0,7.6,6.99,12.0,230.0,87.8,298.0,1696.0,8.52,6.42,5.91,11.0,17.0,98.0,0
Steve Bartkowski,129.0,127.0,59-68-0,1932.0,3456.0,55.9,24124.0,156.0,4.5,144.0,4.2,974.0,42.1,86.0,7.0,6.01,12.5,187.0,75.4,356.0,2956.0,9.34,5.55,4.67,18.0,21.0,84.0,0
Steve Beuerlein,147,102,47-55-0,1894,3328,56.9,24046,147,4.4,112,3.4,1171,43.2,88,7.2,6.59,12.7,163.6,80.3,332,2124,9.07,5.99,5.42,13,16,85,0
Archie Manning,151,139,35-101-3,2011,3642,55.2,23911,125,3.4,173,4.8,616,41.4,85,6.6,5.11,11.9,158.4,67.1,396,3092,9.81,5.16,3.85,11,12,94,0
Brian Sipe,125,112,57-55-0,1944,3439,56.5,23713,154,4.5,149,4.3,905.0,43.4,74,6.9,5.84,12.2,189.7,74.8,224,1889,6.12,5.96,4.97,17,23,87,0
Andrew Luck,86,86,53-33-0,2000,3290,60.8,23671,171,5.2,83,2.5,1166,47.0,87,7.2,7.10,11.8,275.2,89.5,174,1124,5.02,6.51,6.42,16,20,80,0
Otto Graham,126.0,114.0,57-13-1,1464.0,2626.0,55.8,23584.0,174.0,6.6,135.0,5.1,,,99.0,9.0,7.99,16.1,187.2,86.6,75.0,2245.0,7.8,7.9,7.64,12.0,10.0,,1
Lynn Dickey,152.0,111.0,45-63-3,1747.0,3125.0,55.9,23322.0,141.0,4.5,179.0,5.7,859.0,43.5,95.0,7.5,5.79,13.3,153.4,70.9,297.0,2423.0,8.68,6.11,4.58,12.0,18.0,80.0,0
Bernie Kosar,126.0,108.0,53-54-1,1994.0,3365.0,59.3,23301.0,124.0,3.7,87.0,2.6,1079.0,43.7,97.0,6.9,6.5,11.7,184.9,81.8,273.0,1660.0,7.5,5.95,5.55,14.0,16.0,79.0,0
Marc Bulger,96,95,41-54-0,1969,3171,62.1,22814,122,3.8,93,2.9,1107,45.3,80,7.2,6.64,11.6,237.6,84.4,254,1863,7.42,6.12,5.61,12,16,64,0
Neil Lomax,108,101,47-51-2,1817,3153,57.6,22771,136,4.3,90,2.9,1045,42.6,93,7.2,6.8,12.5,210.8,82.7,362,2700,10.3,5.71,5.33,11,12,82,0
Roger Staubach,131,114,85-29-0,1685,2958,57.0,22700,153,5.2,109,3.7,332.0,45.0,91,7.7,7.05,13.5,173.3,83.4,313,2154,9.57,6.28,5.72,13,21,127,1
Babe Parilli,189.0,101.0,49-45-7,1552.0,3330.0,46.6,22681.0,178.0,5.3,220.0,6.6,,,90.0,6.8,4.91,14.6,120.0,59.6,178.0,2132.0,6.23,5.86,4.47,17.0,13.0,71.0,0
Michael Vick,143,115,61-51-1,1807,3217,56.2,22464,133,4.1,88,2.7,1046,40.5,91,7.0,6.58,12.4,157.1,80.4,316,1879,8.94,5.83,5.46,14,15,112,0
Sammy Baugh,167,84,11-10-0,1693,2995,56.5,21886,187,6.2,203,6.8,,,86,7.3,5.51,12.9,131.1,72.2,,443.0,,,,6,16,,1
Jeff Blake,119.0,100.0,39-61-0,1827.0,3241.0,56.4,21711.0,134.0,4.1,99.0,3.1,1017.0,42.0,88.0,6.7,6.15,11.9,182.4,78.0,248.0,1550.0,7.11,5.78,5.27,12.0,16.0,81.0,0
Bobby Hebert,118,100,56-44-0,1839,3121,58.9,21683,135,4.3,124,4.0,1065,45.6,98,6.9,6.02,11.8,183.8,78.0,178,1255,5.40,6.19,5.32,11,16,79,0
Gus Frerotte,147.0,93.0,45-47-1,1699.0,3106.0,54.7,21291.0,114.0,3.7,106.0,3.4,1039.0,41.3,99.0,6.9,6.05,12.5,144.8,74.2,207.0,1328.0,6.25,6.03,5.27,8.0,10.0,66.0,0
Jack Kemp,122,105,65-37-3,1436,3073,46.7,21218,114,3.7,183,6.0,,,94,6.9,4.97,14.8,173.9,57.3,214,2030,6.55,5.84,4.06,11,11,83,0
Jim Zorn,140.0,106.0,44-62-0,1669.0,3149.0,53.0,21115.0,111.0,3.5,141.0,4.5,774.0,42.1,82.0,6.7,5.4,12.7,150.8,67.3,213.0,1585.0,6.34,5.81,4.58,9.0,12.0,88.0,0
Jake Delhomme,103.0,96.0,56-40-0,1741.0,2932.0,59.4,20975.0,126.0,4.3,101.0,3.4,979.0,44.1,80.0,7.2,6.46,12.0,203.6,81.3,168.0,1267.0,5.42,6.36,5.7,19.0,24.0,66.0,0
Earl Morrall,255,102,63-36-3,1379,2689,51.3,20809,161,6.0,148,5.5,,,98,7.7,6.46,15.1,81.6,74.1,197,2182,8.55,6.45,5.53,14,11,86,0
